original_path,archived_path,sha256,disposition,reason,verify
"/d/KnowledgeBase/05-内容生产/进行中/公众号文章_复利的真正秘密.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/05-内容生产/进行中/公众号文章_复利的真正秘密.md","59bf02c5abf84d00441c270dac6baba97906fa541a8151c20b9396258ca6d074","B-archive","QA2026-07-04判不可发布:概念搬运+3处空占位符","hash-verified"
"/d/KnowledgeBase/05-内容生产/进行中/公众号文章_注意力防火墙.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/05-内容生产/进行中/公众号文章_注意力防火墙.md","5edcd3a2df238e6dddd735b4ff4426b81bedd01237b3fbf0bcddec9701598baf","B-archive","QA2026-07-04判不可发布:操作手册感+2处空占位符","hash-verified"
"/d/KnowledgeBase/05-内容生产/进行中/公众号文章_止损的人生哲学.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/05-内容生产/进行中/公众号文章_止损的人生哲学.md","0c821f991b46797d0fb3020ecf1d771fd620d9da2d3de16536d0b6a47a3eba53","B-archive","QA2026-07-04判不可发布:3处空占位符+证据层1/5","hash-verified"
"/d/KnowledgeBase/05-内容生产/进行中/公众号文章_杠铃策略深度版.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/05-内容生产/进行中/公众号文章_杠铃策略深度版.md","fbae9e7af3f63fb2aeb5542f24fc68215288b757eac2b7fb2f936769340125b7","B-archive","QA2026-07-04判不可发布:观点来自塔勒布非原创","hash-verified"
"/d/KnowledgeBase/05-内容生产/进行中/公众号文章_信息差变现的底层逻辑.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/05-内容生产/进行中/公众号文章_信息差变现的底层逻辑.md","44de6b8edd90f8cd8cbd372831d7fe079e2086efad9e17c8fbe53746be6b4473","B-archive","QA2026-07-04判不可发布:三步法说明书感","hash-verified"
"/d/KnowledgeBase/05-内容生产/进行中/公众号文章_交易员思维迁移.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/05-内容生产/进行中/公众号文章_交易员思维迁移.md","506c704626646d2b7d0ed86477b2e59db9075b7ea6462cdc08bd8390f0e7535d","B-archive","QA2026-07-04判不可发布:4处空占位符+证据最弱","hash-verified"
"/d/KnowledgeBase/05-内容生产/进行中/公众号文章_一人企业框架.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/05-内容生产/进行中/公众号文章_一人企业框架.md","6618c4e689b8cd8f8c2b76d55deccf0749f1d0b3b5d62ada6ca1eb4996d612e3","B-archive","QA2026-07-04判不可发布:理论感过重","hash-verified"
"/d/KnowledgeBase/05-内容生产/进行中/公众号文章_AI工作流V3.0.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/05-内容生产/进行中/公众号文章_AI工作流V3.0.md","ff4679c92b912f7cab797487c6ecc8e7aac7cb19f2261fde8fbca33028e4a3b4","B-archive","QA2026-07-04判不可发布:选题同质化严重","hash-verified"
"/d/KnowledgeBase/05-内容生产/进行中/三个自媒体热词概念拆解.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/05-内容生产/进行中/三个自媒体热词概念拆解.md","76984bb208b1f86ab3d7b7528d69e742ea63011c0466353d8a2dd7a8cb671423","B-archive","热词拼装稿,无个人证据层,方法先行","hash-verified"
"/d/KnowledgeBase/05-内容生产/进行中/参考工具包_合并版.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/05-内容生产/进行中/参考工具包_合并版.md","aa1fbe06547623499e9c1ddcd5981c711c4188265503afbf0baa32d31f19bb37","B-archive","合并版批量拼装物","hash-verified"
"/d/KnowledgeBase/05-内容生产/进行中/运营工具包_合并版.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/05-内容生产/进行中/运营工具包_合并版.md","acc24fe54670ca4e95766fca0c3a36725d4eb87a64cd6fadddb8f25d01c45963","B-archive","合并版批量拼装物","hash-verified"
"/d/KnowledgeBase/.dbs/assembly/douyin/_batch4_all.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/.dbs/assembly/douyin/_batch4_all.md","43a4d6b1ab1afa6431982d2a7938a5d2fc805e4f95b81f175c0598cd5f0c062f","B-archive","批产脚本,上游30天选题池已归档,第一人称经历未经作者确认","hash-verified"
"/d/KnowledgeBase/.dbs/assembly/douyin/_batch4_appendix.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/.dbs/assembly/douyin/_batch4_appendix.md","e0da5df67e25c1acb040374bdaf4d7ce282b01829fe19cca667827acd17e2543","B-archive","批产脚本附录,同上游非法性","hash-verified"
"/d/KnowledgeBase/.dbs/assembly/douyin/_batch5_all.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/.dbs/assembly/douyin/_batch5_all.md","50368242d049aad836115702276b6c9ae0e970f4a730edae166e304251c1050d","B-archive","批产脚本,上游30天选题池已归档,第一人称经历未经作者确认","hash-verified"
"/d/KnowledgeBase/.dbs/assembly/douyin/_batch5_appendix.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/.dbs/assembly/douyin/_batch5_appendix.md","12ccfb44525fadda36c0efc1f007d03dda22ee5a33c2721628e22c585e492597","B-archive","批产脚本附录,同上游非法性","hash-verified"
"/d/KnowledgeBase/.dbs/assembly/douyin/_fixed-scripts-batch1.md","/d/KnowledgeBase/90-归档/历史版本/low-quality-ai-stock-2026-09/.dbs/assembly/douyin/_fixed-scripts-batch1.md","a22fd5a6ec6a735285dffbd068fb56c8e331c852a6b1cfcf017927a66eb243b3","B-archive","批产修复稿,上游非法性+AI模式未过humanizer终审","hash-verified"
