"file","area","chars","wikilinks","unresolved_wikilinks","placeholder_hits","generic_template_hits","mojibake_hits","source_signal","recommended_disposition","decision"
"05-内容生产/内容体系/00-缓冲区/README.md","buffer-root","396","1","0","0","0","0","False","keep","keep"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/dbs-chatroom-复利.md","legacy","805","0","0","1","0","0","True","manual-content-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/GOAL_ACTION_ALIGNMENT.md","legacy","822","0","0","1","0","0","True","manual-content-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/LEARNING_PATHS.md","legacy","2111","0","0","1","0","0","True","manual-content-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/README.md","legacy","94","0","0","0","0","0","False","keep","keep"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/book-decons/拆书-大明王朝1566.md","legacy","1848","0","0","1","0","104","True","delete-candidate-corrupted","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/book-decons/拆书-富爸爸穷爸爸.md","legacy","1960","0","0","1","0","108","True","delete-candidate-corrupted","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/book-decons/拆书-每周工作4小时.md","legacy","1915","0","0","1","0","118","True","delete-candidate-corrupted","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/book-decons/拆书-认知觉醒.md","legacy","2013","0","0","1","0","98","True","delete-candidate-corrupted","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/book-decons/拆书-少有人走的路.md","legacy","1457","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文02-三重大脑与元认知.md","legacy","2282","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文12-第一性原理思考入门.md","legacy","1793","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文15-复利思维在生活中的迁移应用.md","legacy","1777","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文24-元认知训练的21天计划.md","legacy","1577","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文28-认知驱动_vs_输入驱动.md","legacy","1286","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文32-马斯克五步算法的通用应用.md","legacy","1450","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文37-复利效应在习惯养成中的应用.md","legacy","1243","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文42-注意力的经济学.md","legacy","1059","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文45-元认知_AI时代的终极竞争力.md","legacy","1081","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文46-焦虑的进化心理学解释.md","legacy","1337","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文76-复利思维的认知前设.md","legacy","1169","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文77-第一性原理的日常用法.md","legacy","1163","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文78-学习不是为了记住.md","legacy","1071","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文79-创造者vs消费者.md","legacy","1190","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文83-系统诊断：当知识和行动脱节.md","legacy","1768","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文84-复利行动方案：从读到做.md","legacy","974","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文88-现实反馈复利协议：从成瘾止痛切回执行底盘.md","legacy","992","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文89-纳瓦尔财富物理学：杠杆专长和复利.md","legacy","876","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文90-位置稀缺性与无效努力.md","legacy","968","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文91-塔勒布的反脆弱日常化.md","legacy","986","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文92-马斯克五步算法：删减比增加难100倍.md","legacy","1032","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/cognition/长文98-乔布斯的现实扭曲力场.md","legacy","987","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/concept-anatomy/第一性原理__concept-anatomy.md","legacy","931","0","0","1","0","0","True","manual-content-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/concept-anatomy/复利__concept-anatomy.md","legacy","2101","0","0","1","0","0","True","manual-content-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/concept-anatomy/认知偏差__concept-anatomy.md","legacy","1529","0","0","1","0","0","True","manual-content-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/concept-anatomy/系统思维__concept-anatomy.md","legacy","940","0","0","1","0","0","True","manual-content-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/concept-anatomy/心智带宽__concept-anatomy.md","legacy","928","0","0","1","0","0","True","manual-content-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/concept-anatomy/延迟满足__concept-anatomy.md","legacy","1534","0","0","1","0","0","True","manual-content-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/concept-anatomy/元认知__concept-anatomy.md","legacy","1712","0","0","1","0","0","True","manual-content-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/dankoe-methodology/DK01-10条思想原则.md","legacy","1955","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/dankoe-methodology/DK02-从旧系统退出：6个哲学重建.md","legacy","1114","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/dankoe-methodology/DK03-创作者闭环：每日系统.md","legacy","1315","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/dankoe-methodology/DK04-90天思想实践计划.md","legacy","1197","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/dankoe-methodology/DK05-2026关键更新·AI一人企业新范式.md","legacy","1418","0","0","0","0","0","True","manual-content-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/decision-system/01_事实.md","legacy","1295","0","0","1","0","32","True","delete-candidate-corrupted","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/decision-system/02_商业模式诊断.md","legacy","1511","0","0","1","0","79","True","delete-candidate-corrupted","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/公众号-生命之书v1.md","legacy","2261","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文01-重新理解多巴胺.md","legacy","2016","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文04-中医系统论.md","legacy","2005","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文101-高维人类运维协议：把身体当成生产系统来管理.md","legacy","1096","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文13-中医系统论与现代科学的对话.md","legacy","1618","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文16-糖瘾的双重劫持.md","legacy","1552","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文18-成瘾者的身份重建.md","legacy","1449","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文22-低碳水饮食的30天实验指南.md","legacy","1604","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文23-多巴胺断食实操手册.md","legacy","1408","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文29-成瘾者的自我重建.md","legacy","1310","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文31-低碳水的科学争议与共识.md","legacy","1269","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文34-新陈代谢的底层逻辑.md","legacy","1495","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文39-中医的现代科学验证.md","legacy","1197","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文47-生酮饮食的迷思与真相.md","legacy","1171","0","0","0","0","0","False","manual-source-review","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/health/长文72-你为什么总是想吃糖.md","legacy","1168","0","0","0","0","0","False","manual-source-review","pending"
