"file","area","bytes","sha256","internal_exact_count","formal_match_count","formal_matches","placeholder_hits","source_signal","publish_signal","mojibake_hits","classification","recommended_disposition","decision"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_WORK_LOG.md","governance","348","20B992200BC1087EF3005B5717C7460C07A48BB13C5CEB8B43A84401902D4E5C","1","0","","0","False","False","0","manual-review","manual-content-review","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/DBS_CONTENT_SYSTEM_AUDIT.md","governance","6719","B69B1103484266EC6981F70DE6536B68557440746E56DC8747A769D5B80D045D","1","0","","0","False","False","0","manual-review","manual-content-review","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/DBS_SYSTEM_AUDIT.md","governance","3413","1B626BED5F4FC31D1CCF862B05D24AF99E7C2F2A6A3598652526788DDB969EAC","1","0","","0","False","False","0","manual-review","manual-content-review","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/README.md","governance","603","6CA18A5FEFEB3641C1F5516FA95AA7C2CE5D3DE897607C111EE52A69A28A7F6F","1","0","","0","False","False","0","governance-file","keep","keep"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/_REPAIR_REPORT.md","dbs-process","18308","0C9E16DED8D2837C37F25EDBDC085D49999639DC09523BE1A799A3552EB241F6","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D01_AI时代独立思考的价值.md","dbs-process","9704","EB7E23E69DC196C5EEE157BB6BEDEF9F3DFBB22412256B7AE3B6550025647CDB","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D02_资产vs负债.md","dbs-process","8324","7900B3C0793B929FFB09654724C811784964262D4E48B7E5F0DF468A1D409A7A","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D03_多巴胺天平.md","dbs-process","5785","A01400C70C7DEC54A3807B9E07DD44A5B83E2C64CECBF52B0B3632D2291F7D7B","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D04_HKR流量公式.md","dbs-process","8730","125182D1B592EBCAC79F0D664D6ED925ECD5B5E03525D09253A30679DF167C67","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D05_认知Bug防御.md","dbs-process","5988","2677A7AEF0CB675E2F2C200F1EBB7E7654499A465655E48C6A78BDBE68861748","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D06_100篇定律.md","dbs-process","11035","7AA56FAF1AF5D5A677C186915FFA354CD37E9420317A695152D0DAB42101BFC8","1","0","","0","True","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D07_最小可行性习惯.md","dbs-process","10817","5F80F07F6D5DCF6EF42382FA51461B2F430EF340142B6B4702902D79AE6B5C0F","1","0","","0","True","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D08_复利曲线.md","dbs-process","10796","9BF0B6D95C0FE535B10441D32F9B3E8FEA16630B8882ABA77FC1B2B53C0EBD6E","1","0","","0","True","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D09_内容创作四根命脉.md","dbs-process","10193","618EDB60EEDA1BCE53E0F5B84C2DBAA2169032A74839E3C6BE20F8AFD7A6B21A","1","0","","0","True","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D10_忙碌逃避.md","dbs-process","10059","A0B78A22ACE47A2EA2288A49B7D1CFD540177ED5CD9A14C1C609CE0A114555FE","1","0","","0","True","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D100_内容产品化.md","dbs-process","10518","8A5640A4B5CE174586C5103053E3030373F59962B0496CDDB73B66B4B31D30A1","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D101_发布不是终点.md","dbs-process","9370","0D33F3BC23C48980A6A53DB8EF20BC9B89F27C5D067F19DA996FC9DEF919F119","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D102_环境的暴政.md","dbs-process","9777","C749C85D739A4BE303D2AA3C0CB9B8E2756E7F1A7A9B8B2E19227090C63F256A","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D103_饮食决策框架.md","dbs-process","9509","8AD472BFFB8A2BE2C11C6889E57022D5357D7CD39186138BF939B1CCE4EACD2A","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D104_昼夜节律重建.md","dbs-process","9964","91C6BCC242445B8120C7BF16A953982DBCB0FC1737373ED7DBD7906AAFEC38DB","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D105_成瘾不是意志力问题.md","dbs-process","9969","D6F96D0754BA148BF0143C215E6D4A7A595DDBC72115B48D3C53CAE7F5E5AF3A","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D106_睡眠不是休息.md","dbs-process","9827","D1CF959F47D36E5418F1CA70E166128BD5523B50F15FB892F33C9515C65ED8B0","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D107_认知目标函数.md","dbs-process","9470","FCF859479213770409B8C7BAA79155BC809FB0685087073F43DC6C35BE963CF2","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D108_形象不是虚伪.md","dbs-process","10199","883CC1C7C154B94289B02DF7E6D77320B96D7CB221C3092BE2194FA07640C4CB","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D109_代际错位即杠杆.md","dbs-process","9509","C4F14C4318CA0769DD2CB48F39F3A0A3FDACFF6FB806799FA91CE03BACB13349","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D11_共同想象与权力.md","dbs-process","10255","7916FB70FF378EB8C791895E2021990B37B7AE17202F6DCA9ADCD424C4B18DF9","1","0","","0","True","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D110_多巴胺基线崩塌与修复.md","dbs-process","9771","6052CBAE298BF4723E5A35974415107872F060C4774881236DCA54D091123B4D","1","0","","0","False","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D12_三重大脑的真相.md","dbs-process","12017","4681F8B97BF5D1620B3A0DF52BFE212E30842B54F9A88DAFB9749621BC1EB920","1","0","","0","True","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D13_依恋模式.md","dbs-process","11637","547E6FB36BA8F826DD0383AD2C2C3592E92B1E9DBD6E3C2FA6462904DC73F50B","1","0","","0","True","False","0","process-output","delete-or-archive-process-output","pending"
"08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/_dbs/D14_第一性原理深钻.md","dbs-process","11658","0B8F8E345C4390220E028B56E38994821F9B44EB79A9845A5F6B49ACA75944FD","1","0","","0","True","False","0","process-output","delete-or-archive-process-output","pending"
