"corrupted_file","same_name_count","same_name_paths","decision"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/book-decons/拆书-大明王朝1566.md","0","","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/book-decons/拆书-富爸爸穷爸爸.md","0","","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/book-decons/拆书-每周工作4小时.md","0","","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/book-decons/拆书-认知觉醒.md","0","","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/decision-system/01_事实.md","0","","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/decision-system/02_商业模式诊断.md","0","","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/plain/长文31-低碳水的科学争议与共识_plain.md","0","","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/plain/长文43-穷爸爸富爸爸_两个爸爸的教育启示_plain.md","0","","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/plain/长文85-21岁的身体是一笔复利投资_plain.md","0","","pending"
"05-内容生产/内容体系/00-缓冲区/legacy-content-creation/plain/长文92-马斯克五步算法：删减比增加难100倍_plain.md","0","","pending"
