"source_path","archive_path","bytes","sha256","decision"
"08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/01-心理资本.md","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/01-心理资本.md","18659","83A73DA0FE3083BC2D5282682CB9F0B8BBD80744E47D1430FB001906A666388E","archive-untraceable-ai-derived-book"
"08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/02-赚钱不是认知问题.md","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/02-赚钱不是认知问题.md","14164","31001CC03DFA16686F8A85F01F6375E333A67DA64E5539D532DABF50BB8F7FAB","archive-untraceable-ai-derived-book"
"08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/03-自媒体杠杆.md","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/03-自媒体杠杆.md","16016","15C1B7FC7DD88D994F6D44A71775D822DC350218F311FD39B7239DB9CC39790F","archive-untraceable-ai-derived-book"
"08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/04-先有产品后有内容.md","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/04-先有产品后有内容.md","14698","A42918A047BE92AC790DFED4B29122365A953093905132FC862D03C03C4B31F7","archive-untraceable-ai-derived-book"
"08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/05-上班思维.md","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/05-上班思维.md","14867","E772F18544F8AA956FDD76D95D40B85184DB8EB167234A1CDE4DF6B87FCE878B","archive-untraceable-ai-derived-book"
"08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/06-兴趣是干出来的.md","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/06-兴趣是干出来的.md","13788","0201C5D1C39CAE9FB3F26EDDA1211F270B2DCC181C5E7E0B2E9886D5E7C1E716","archive-untraceable-ai-derived-book"
"08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/07-过度总结.md","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/07-过度总结.md","13644","B45A8571C759CFD3325919E68C33C7B770A8C4894DEFB42964EA9D27B4BEE115","archive-untraceable-ai-derived-book"
"08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/08-三重正反馈.md","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/08-三重正反馈.md","14848","E9A73256CBD2FF4F4CFD18225C4D644DD331C076C88382A33ABA1AA7FA4E4515","archive-untraceable-ai-derived-book"
"08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/09-内容的本质.md","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/09-内容的本质.md","13388","5347262F24B6ACF42BBF8CB5A4538E8FBA219250C8CF039088CF03E167757081","archive-untraceable-ai-derived-book"
"08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/10-文字洁癖.md","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/10-文字洁癖.md","12703","07B87E5A21ABA46E403A6F9C1E1B464757F6B9765F9DBD97E6E0E2E8F5659F9E","archive-untraceable-ai-derived-book"
