"file","findings","rule_ids","commits","first_date","last_date","category","disposition","next_action"
"_logs/feishu_sync_v7.log","1","generic-api-key","1","2026/6/11 14:25:20","2026/6/11 14:25:20","historical-log","rotation-required-historical-log","Verify service-side revocation, then retain redacted summary or archive"
"_logs/feishu_sync.py","1","generic-api-key","1","2026/6/11 12:53:13","2026/6/11 12:53:13","historical-log","rotation-required-historical-log","Verify service-side revocation, then retain redacted summary or archive"
"_logs/KNOWLEDGE_FORGE_PIPELINE_20260608.md","1","generic-api-key","1","2026/6/8 5:12:07","2026/6/8 5:12:07","historical-log","rotation-required-historical-log","Verify service-side revocation, then retain redacted summary or archive"
"_logs/test_feishu.py","1","generic-api-key","1","2026/6/11 12:53:13","2026/6/11 12:53:13","historical-log","rotation-required-historical-log","Verify service-side revocation, then retain redacted summary or archive"
"_logs/weread_batch2.py","1","generic-api-key","1","2026/6/11 12:56:29","2026/6/11 12:56:29","weread-history","rotation-required-protected-source","Verify old value rejection before protected-source disposition"
"_logs/weread_batch3.py","1","generic-api-key","1","2026/6/11 12:56:29","2026/6/11 12:56:29","weread-history","rotation-required-protected-source","Verify old value rejection before protected-source disposition"
"_logs/weread_extract_top.py","1","generic-api-key","1","2026/6/11 12:53:13","2026/6/11 12:53:13","weread-history","rotation-required-protected-source","Verify old value rejection before protected-source disposition"
"_logs/weread_extract_v2.py","1","generic-api-key","1","2026/6/11 12:53:13","2026/6/11 12:53:13","weread-history","rotation-required-protected-source","Verify old value rejection before protected-source disposition"
"_logs/weread_highlights.py","1","generic-api-key","1","2026/6/11 12:53:13","2026/6/11 12:53:13","weread-history","rotation-required-protected-source","Verify old value rejection before protected-source disposition"
"_logs/WEREAD_SKILLS_USAGE_20260608.md","1","generic-api-key","1","2026/6/8 5:07:12","2026/6/8 5:07:12","weread-history","rotation-required-protected-source","Verify old value rejection before protected-source disposition"
"_logs/weread_test.py","1","generic-api-key","1","2026/6/11 12:53:13","2026/6/11 12:53:13","weread-history","rotation-required-protected-source","Verify old value rejection before protected-source disposition"
"_meta/知识库外科医生提示词_v2.0_DH定制.md","3","generic-api-key","1","2026/6/11 12:53:13","2026/6/11 12:53:13","historical-prompt-config","rotation-required","Verify service-side revocation; do not rewrite shared history"
"_meta/ds-optimization/config.toml","2","generic-api-key","1","2026/6/11 5:45:29","2026/6/11 5:45:29","historical-prompt-config","rotation-required","Verify service-side revocation; do not rewrite shared history"
"_superpowers-zh/superpowers-zh-main/tests/brainstorm-server/ws-protocol.test.js","1","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","test-fixture","candidate-test-fixture","Confirm value is non-production test data; retain test semantics"
".codex/skills/hyperframes/packages/cli/src/auth/scrub.test.ts","1","jwt","1","2026/7/7 2:28:08","2026/7/7 2:28:08","test-fixture","candidate-test-fixture","Confirm value is non-production test data; retain test semantics"
".codex/skills/hyperframes/packages/cli/src/telemetry/client.ts","1","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","source-code-reference","candidate-source-review","Confirm candidate is source code or documentation example"
".codex/skills/hyperframes/packages/player/tests/perf/scenarios/04-scrub.ts","1","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","test-fixture","candidate-test-fixture","Confirm value is non-production test data; retain test semantics"
".codex/skills/hyperframes/packages/studio/src/telemetry/client.ts","1","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","source-code-reference","candidate-source-review","Confirm candidate is source code or documentation example"
".codex/skills/hyperframes/packages/studio/src/utils/studioTelemetry.ts","1","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","source-code-reference","candidate-source-review","Confirm candidate is source code or documentation example"
".codex/skills/hyperframes/registry/blocks/code-3d-extrude/code-3d-extrude.html","44","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","hyperframes-code-snippet","candidate-rule-review","Confirm generic-api-key matches are code examples; retain source semantics"
".codex/skills/hyperframes/registry/blocks/code-diff/code-diff.html","54","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","hyperframes-code-snippet","candidate-rule-review","Confirm generic-api-key matches are code examples; retain source semantics"
".codex/skills/hyperframes/registry/blocks/code-highlight/code-highlight.html","44","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","hyperframes-code-snippet","candidate-rule-review","Confirm generic-api-key matches are code examples; retain source semantics"
".codex/skills/hyperframes/registry/blocks/code-morph/code-morph.html","118","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","hyperframes-code-snippet","candidate-rule-review","Confirm generic-api-key matches are code examples; retain source semantics"
".codex/skills/hyperframes/registry/blocks/code-particle-assemble/code-particle-assemble.html","20","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","hyperframes-code-snippet","candidate-rule-review","Confirm generic-api-key matches are code examples; retain source semantics"
