"path","proposed_id","before_bytes","before_sha256","after_bytes","after_sha256","state"
"SOURCE_OF_TRUTH.md","knowledge-base-source-of-truth","5396","FB409D86A896F34798138004083183148B7B47BCE37B28139040C8809B95F073","5432","ADF4BBEDF44AF3BA34AFFB91253987DFF2595AFE5A34B0AFDE627DE093994516","verified-id-inserted"
"01-项目/meta-abilities/自学.md","meta-ability-01-self-learning","30945","EEBA20A28A61A1B8E615F9CA1DBE36F3F1217E933F028E822CC7E2BF804A2CD2","30980","77882EF2F89F9824820DAAAF385D53425D56C8D98F436F5E4D55101912529FD5","verified-id-inserted"
"01-项目/meta-abilities/写作.md","meta-ability-02-writing","25614","AB6C1295EEE52EDC020691DB68F40AE045C437DD069E1D17143026A4B3B0F412","25643","4D5E2E470C3AB85FFACBBC1285067E385822309F96529C54ABFF6990E8D3FB41","verified-id-inserted"
"01-项目/meta-abilities/说服.md","meta-ability-03-persuasion","20380","DD3E4A90516103BF43775FA36C0541FE8250AAD76AB833B0C141A713D079A651","20412","3F375410511AB89A2BF5E2E23FA96A2BE217F182D3E3CEC909AFE963145AED45","verified-id-inserted"
"01-项目/meta-abilities/健康.md","meta-ability-04-health","27158","15348A85575DAA1D309495E14744EC8094696C2AA07189AACA30832A55DE3B46","27186","E320FE92B28F368D3B4C79E04D50E90F20AA2B9AF3C2EA8584B381415E33C862","verified-id-inserted"
"01-项目/meta-abilities/决策.md","meta-ability-05-decision","23554","3E935B768A04043B5BC8E69E2F83E2F85A00318931B71166D871560C936F2723","23584","2E78A730D508E04A546269A8CD505D2C878AA76F3416AB6E3F449A1350973150","verified-id-inserted"
"01-项目/meta-abilities/专注.md","meta-ability-06-focus","8986","9F685B329C6BEBFD3B9A2B67371EE617A897E2E1CF42EE103518DDBABEFAE8C9","9013","90A95C364FD5B5D7859092A87D26D9DBCFA9F402747A59442161FC6A83462F99","verified-id-inserted"
"01-项目/meta-abilities/元认知.md","meta-ability-07-metacognition","4923","34E0D8E45515338AFCEFD9BFAD0FEE16C466A3CFDB03FE736EDBA78257E83C85","4958","68315837E2C39A2F058749EAE82BDE340ED6F413B9E3141FF958C64B61020191","verified-id-inserted"
"01-项目/meta-abilities/系统思维.md","meta-ability-08-systems-thinking","7817","2C0E0BA5DB3786D80BD44D22902F44B5193E4498B9E46B7F45D6FCD8C024069A","7855","1C32FFF33CAD1DF675227E40F90F2A31942320F2C3C72516C41C424909608C1F","verified-id-inserted"
"01-项目/meta-abilities/创造力.md","meta-ability-09-creativity","5119","C7B07CF6DABD8F71C18FEA74F3F4136BE226D77D2A1BD4A1AFA88E63EE63F00E","5151","8794466491E269CED915CE3C0E09E6F46B4AC9965E16AEDF102C5C117FC9F123","verified-id-inserted"
"01-项目/meta-abilities/情绪调节.md","meta-ability-10-emotion-regulation","5931","98B26CE64D9C644EC3E4756537C4C61D42F9ECF63EF12A8F053D6E54B5534646","5971","556B38CFEEA0E6152EB526451B40C7B6063D81C0ADB1539DC721312540A9077C","verified-id-inserted"
"01-项目/meta-abilities/执行.md","meta-ability-11-execution","29754","D1C0B6C0470DF768F8BEEA41459E93AE5BF1E1509FB3864CDF9AE0CD6BCB5A6C","29785","E5ED9EAD2EDEEC1A568CA4A8B898B8A4B3C5C24045A7AD9B6298AD2BD7922B86","verified-id-inserted"
"01-项目/meta-abilities/戒断.md","meta-ability-12-abstinence","28425","2DAB94436A72263CB5A26C7F3BCE0E327B2FD448ADB8113DACAAE3F9E1E636D2","28457","2B2CB996863385102FC043008B1CC960A1B0FD5D1CC6BD843297D7C0AD6BF2B4","verified-id-inserted"
"01-项目/meta-abilities/自我精神分析.md","meta-ability-13-self-analysis","29757","59FA654C7C0B5951DF7AC697F7625885412B685053187411E13C6E361CD3944E","29792","3D9F8A37774774B2CAB1FA74DCF4BDF18D2D8A1A4532210DFC950466AD658126","verified-id-inserted"
"01-项目/meta-abilities/统计.md","meta-ability-14-statistics","24968","C36B8F5AA356C180782BDB0A4291D0A67E089E70F90B2B97C23B8F7073F111FC","25000","9A30B11F1705EE3634F00A3BFAB24E73CE68D9D29B41E296B7A6F94D523FDAA4","verified-id-inserted"
"01-项目/meta-abilities/逻辑.md","meta-ability-15-logic","17524","44267782FF372035C9955684AA4FF57AE014A310783F3D4B82EE85E8BD31FDE9","17551","30DF5D5BE8B287D802EC21DD87B865EF6F91B71F0BE4B3998FCC6901C693580D","verified-id-inserted"
"01-项目/meta-abilities/README.md","meta-abilities-project-index","2125","0DE8D296EBE9E0D9074AC4FD7DA4CED51B86717618095D69B0C4B20A09815F3D","2158","5317DA8DFB1885D2E1FE00FE555C8B67BA4DFE74434C0E78B265133977CCB9F5","verified-id-inserted"
"05-内容生产/内容体系/00-规则与索引/DBS内容工作流.md","content-dbs-workflow","1533","26FA49F95A03A069DD4FEA83DCF65CE32F4B2012EB4946B9C01F2CCB871A25C2","1558","51A52EB2511065AB7A3A75CB97BE7F7E2F4213AE2AB796D11B6DE5181770E7A2","verified-id-inserted"
"05-内容生产/内容体系/03-处理状态/199社群验证台账.md","content-199-community-validation-ledger","3579","33B20ED7236AFA907A902EA68FF4C7D7A4525FE47BF817DC6EE6F1733E366AE2","3623","298C2785EBF9DAB19FCA16CF3A280EE41AD03447878554D08B47EF5D987A2FC0","verified-id-inserted"
"05-内容生产/内容体系/03-处理状态/内容生产事实与实验参数.md","content-facts-experiment-ledger","6107","257AD0E682BCD1DCE8B64F31353175B7746E00229CBF114B1D12C4D7B43218D2","6144","2514D656548B49F6985E143BFBE35F9CC741A0F58EF2111167E0CCABFB33D996","verified-id-inserted"
"05-内容生产/内容体系/05-主题地图/综合.md","content-theme-map-comprehensive","9749","E09C6C4F00B36B49C08576218C0AA9891EF122285FEDB6209C0BBF88EAC064A2","9785","A520E3F2B3135F1E7DBDD351390714BCC4F7513EBE8272C839B08793ADDFF12C","verified-id-inserted"
"05-内容生产/进行中/董辉自媒体运行手册.md","content-runtime-manual","1949","563CE76CB06A1EB626CF563EF4EF7F66F2C9207996E7C1E835CE463F3E323033","1976","A2A0395233F2974444E95215101992AE7A5B40A95C922F69E2D9CAC71CEFBFBA","verified-id-inserted"
"05-内容生产/选题管理/00-选题记录.md","content-topic-record","3748","E98BE353577F11C31379A94267A04C0D19E5BB77243BEED0712C2A9C3BBDB814","3773","D65B58DBF0BB65F4784346798FF378189A5AD8C804B8BD1E8A80057037CAE703","verified-id-inserted"
"05-内容生产/选题管理/选题真实性准入表.md","content-topic-authenticity-gate","3264","C351CB1EDE47FF83910CC3FCEB47E96454B6A118BF5AC9C1829CA1ADA165F13B","3300","E3C5F4239787CD19AEEBE73E8D394BD579BD931CFF017BAA7096793F99A35ED4","verified-id-inserted"
"99-系统/元数据/skills-quick-reference.md","system-skills-quick-reference","106183","BEA995BE60A2446E55A2059E44333D7D5CCB373EA545310E4C5DB50D0FA7777C","106218","1433B79895BF87A19732B7598F36E8FAE5FE6F363E29B57EB88EF617B2B706B3","verified-id-inserted"
"99-系统/元数据/prompts/知识库内容质量维护_CANONICAL.md","system-content-quality-prompt","2430","1A1AA0AF435B4177AB5FBFCC5F1AC176306E9623D5B159A994D8D87CB3A5915A","2464","1CED8AFBA9BE20686FBEFCB7D177E8D910618E2A5B95FA4B5E0EFBED815A3C51","verified-id-inserted"
