"file","original_sha256","original_body_sha256","source","source_status","added_fields"
"05-内容生产/内容体系/02-内容单元库/UNIT-001_多巴胺基线崩塌与修复.md","8B5B2ED9D47D0784AF93E1E4B66D6FD6F425CC021A7606F8854B547520ACA0FA","E616396B9A41F24B704EF227CE330AF4DAF9DD1EB96DE797450B9E01947CE660","04-知识/卡片/C1-1_多巴胺基线崩塌与修复.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-002_成瘾不是意志力问题.md","A7950A24C48716036DB2EF8C5E3A287AAF8FB104CBB0EECFE3762EA60807B049","A47AEAFDCA206CAD1ADF8ABA93E0EE8F30F2E4BDA5B4E3FD348F8558BC46467D","04-知识/卡片/C1-4_成瘾不是意志力问题.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-003_睡眠不是休息.md","7B0433E53F5D41EA6FE1DA2FF7322CA1C779B5FB4D3359FA86C523DB5C4208D3","CB886F8EBB12B72403FED6F5E46383632E24E71973F1F4ACD4EB92A946CC4E6F","04-知识/卡片/C1-5_睡眠不是休息.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-004_先避毁灭再求收益.md","37268491BDA1A4DCB408D529D5C8EE6FEA834B327613CB6BEBDEF898B9D2A6DB","3272E95BEDD99E59EF7953402EABC94D8489EE024BD176655491AE6C2D2370C1","04-知识/卡片/C2-1_先避毁灭再求收益.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-005_认知负债陷阱.md","CA6CA39D026F3C2C64EA201A0A0C6503196CAB1A45E0CCA796E63B9226BC367A","FDD4ACA3928C9E84843C05083CDB4D35808835314B9027CB9884FEC65B887AC5","04-知识/卡片/C2-2_认知负债陷阱.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-006_六格复盘.md","1E132978235C2AAF193F40FD95A0E37ABBD29E4800FD7350C974EC1F1877E2D5","8413F11B4C3167D1EF2415F8FC1A7F49D77D5B66BEE7106D70DF5F3D9C381485","04-知识/卡片/C2-3_六格复盘.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-007_认知目标函数.md","8D79C3D972587526C2A85EC198A86BD2AC349D2E3F13F39504A84D018A9D6239","37D7EB7C9F5317DAE12BADACAA233C16A190303D96463D5D5C190A77C0AC1268","04-知识/卡片/C2-4_认知目标函数.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-008_资产还是负债.md","72C90EFF75F240F7F68BE703AA175BA1B0C4D01F3C65630F3EDE5EA4992ACDBE","58A8A7E0BE4773D5969E6C4739562146927940C78062855312E13C07258D4B45","04-知识/卡片/C3-1_资产还是负债.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-009_杠铃策略.md","C425AA5DCB4760366DC000EA7EEFFFA1B564F7F3545F98CA6D40C33962E5F676","34E7886B77DD50A8DD253CBA4B1822E37425724D4FD834A25E94F1EF94687D52","04-知识/卡片/C3-2_杠铃策略.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-010_一人企业.md","BA311EE1F73565D6D05D196510CC031CCE7CB681E11E156E776EFCA3AD89D26B","336A43C4E255092AC1D9D39C41EF29C5509F97C0532CA6F83251796A86F77319","04-知识/卡片/C3-3_一人企业模型.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-011_复利不是数学公式.md","B0520F2557A8E5186CEE5510AA5004885B3ECC428B3EFAEAF76B1F708DF36AFB","46CB0C7D5E134BE614A798AED8F1103379D578F9F6C319195B666617734F57F8","04-知识/卡片/C3-4_复利不是数学公式.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-012_交易的唯一正确目标.md","3B8EB374B38782C909D85928F2A58251FFF45B6E0677B6A9C753ABD3AFBD7867","B3A901E0F5E8BCDC6E7BCB857F4B6520CB6DE3DBBB4C13C09EAC2284C24668AC","04-知识/卡片/C3-5_交易的唯一正确目标.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-013_三位一体创作.md","5488B5A1D8D1FDA401E3EA8AA9D63E9326FF5DD1DB87F017A10974A8D3412DF6","9DFD1D4A265DA1A866326FE13D034150389E7243A3A211222FA3A24B7F742A5F","04-知识/卡片/C4-1_三位一体创作.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-014_注意力是第一资产.md","8560B1B0E34408587A7E85C44986B0DBDB8530EA6466E353A899735BDF72FF43","E609F5B6BCE56132C5F44074EF99466777C9D23EE07918818E75E48D92DDE6C2","04-知识/卡片/C4-4_注意力是第一资产.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-015_发布不是终点.md","AAA9DA30BF2424E0415E25C1DBB4D3AA43B6C498503302512CFBE384A2D3BE01","045BA64E9F2EFF38C01620A8A61DDF7F58DC4121E858F89BA9AE9F978F61B61A","04-知识/卡片/C4-5_发布不是终点.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-016_反依赖.md","CF3E297F0B2AF6B04217B10851FB4DB7C739E952119815ED9B16E00050533149","D7364C937C342A8CD440CCAAC86A7FD88D8FE19F3EBA51D977EE93A0332FEA9F","04-知识/卡片/C5-1_反依赖.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-017_形象不是虚伪.md","5714148B5A0920941E3E2B9D14CFEB5BA71E45569194C043673EF4CFE3DBA153","458D37C18F6CE862AB360C1B4E3D5C01BC697916F3A1B35B28CBE832FAD77E61","04-知识/卡片/C5-4_形象不是虚伪.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-018_代际错位即杠杆.md","0240BB6AE48F5F2D85EE6397DBA692AE1674B549217E4410C15A5DAECE1C313E","B963AF71193FFEBCF97EC5F59C0CF546F740254C88A8F6EA1F996AF12D835D69","04-知识/卡片/C5-5_代际错位即杠杆.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-019_负循环破解.md","8A677F42189F340DCD1BAD8E66AF3CE27F3BE77A25B5E761B4069A39F28A4535","353B81863E2CB40730F04E5E8A17BAA07C6DDC5E4DA18EC21A08D29CC2C9834C","04-知识/卡片/C6-1_负循环破解.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-020_P0单一主线.md","6ED81691E1694B6BFC26DEFFC38C35F8041F66081721DAC8CE371FDEF7505B8F","371ECCB4FEECC17608BB055E1A3134E95E12DAFE520C44E7D7D6792D6147EEA3","04-知识/卡片/C6-2_P0单一主线.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-021_14天实验SOP.md","BB1198B9F700B8DD37F17AE007785E2454D8307CED82AD18A1F0D65DE46E4ED2","8EF79B85CD36C1F3FE093AEDBE333B418BB288FCFDD079F2C5BA8A958190B26C","04-知识/卡片/C6-3_14天实验SOP.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-022_最小可行性系统.md","2AA9E3CAE3DC2E2C6BB08023D8699081195228D5ADFE69B844319D9549CA38A0","5C0BB35D23F46BB15229E27BB9E4C19D146F9AB357975A80072FC24AA1ED8573","04-知识/卡片/C6-4_最小可行性系统.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-023_环境的暴政.md","C5BBEB1C5E5C34EA0CE7821449A8385A055F29053750C9A37B84968B0DE73946","B2F3FE05D1C05EBF05DBD5FA793ACA8F6DD72A5355C689D1B014A1386837E522","04-知识/卡片/C6-5_环境的暴政.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-024_第一性原理五步算法.md","A737A8402C3B9822A48A45A6C8CF8FB5CCEBD1F79A0BF8A0BE6FBD7630F07F14","745FA6E63218BED0440D261287751431B3A2A48607CA24108131349A14A88EAC","04-知识/卡片/C7-1_第一性原理.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-025_芒格格栅.md","2BAC4F89FCAE305CD707848D9907033736F21700DB9C4F7474304D9A7F7F097C","9B6137EEE290A15D4A60F84798710920F04FD1BE9C7A41BFECE27EA51FC3CB42","04-知识/卡片/C7-2_芒格格栅.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-026_反脆弱.md","903D91371A6B80CE67A94767D7309CDA66EBE440283897074198DD211B309486","B697CF7229B03A60FE0A0E33D1DBF4DA547568D742CE468D05132B3602C941A1","04-知识/卡片/C7-3_反脆弱.md","linked","status|source_status|canonical|updated_at"
"05-内容生产/内容体系/02-内容单元库/UNIT-027_反共识不是叛逆.md","08C87F5C23879A1B87ADFB73DBE0142FFFFAD2D22E824F1AEF97E898DA661565","D014A34B9AD3A34DBBAAD983DFA8F2157AF860D46482B033E7B1EC977B83456D","04-知识/卡片/C7-4_反共识不是叛逆.md","linked","status|source_status|canonical|updated_at"
