"new_path","blob","matched_from_deleted","classification"
".agents/skills/ask-matt/SKILL.md","70b807b35f85859b0c6cced1919f56e024e6a753","False","new-or-modified-content"
".agents/skills/ask-matt/agents/openai.yaml","5c60d51b5b1248d7210bff8c6b42a5a06524b8a4","False","new-or-modified-content"
".agents/skills/claude-handoff/SKILL.md","88ce8be28217c9dbcd5f8cef0ead2502bf2e2b1c","False","new-or-modified-content"
".agents/skills/claude-handoff/agents/openai.yaml","0a7aa5da50d0e73248fc17fb8fe82409ec071eaf","False","new-or-modified-content"
".agents/skills/code-review/SKILL.md","2a0b5240731b927caa9ac0bf43c3e2af9dc3f0a7","False","new-or-modified-content"
".agents/skills/code-review/agents/openai.yaml","9076774ba327f49068db9273feceda03bfe940fa","False","new-or-modified-content"
".agents/skills/codebase-design/DEEPENING.md","3938457b88ddf98262d5f461aac703dbd74f749a","False","new-or-modified-content"
".agents/skills/codebase-design/DESIGN-IT-TWICE.md","49a7c42a2ccc6aff0ffc09efd28e6a4aa3c373d7","False","new-or-modified-content"
".agents/skills/codebase-design/SKILL.md","16620c24528b737408e78d95dd6a0e01a98d3d63","False","new-or-modified-content"
".agents/skills/codebase-design/agents/openai.yaml","3180715edb37f6e96bec42f92f00169faa8886ef","False","new-or-modified-content"
".agents/skills/dbs-action/SKILL.md","6b47e010f63ab48238c63910762ac86e03084cf6","False","new-or-modified-content"
".agents/skills/dbs-agent-migration/SKILL.md","8bb10c22c96f9ccb91cce6754f06fb78706521bd","False","new-or-modified-content"
".agents/skills/dbs-ai-check/SKILL.md","cefd3b4b20ddbbe53a96e8be614ac7f50b1b9e7e","False","new-or-modified-content"
".agents/skills/dbs-benchmark/SKILL.md","44a30f1b5cd674207497235a33300d72242a6ce2","False","new-or-modified-content"
".agents/skills/dbs-bridge/SKILL.md","2d48e73be596120fac16d663c2409520cba0412e","False","new-or-modified-content"
".agents/skills/dbs-bridge/scripts/bridge-skill.sh","87848a92847ab74a959b38e668bbdaf2a21266a9","False","new-or-modified-content"
".agents/skills/dbs-chatroom-austrian/SKILL.md","5aca12cfbc4f99c1e60c84e5f391fa4b31285a80","False","new-or-modified-content"
".agents/skills/dbs-chatroom/SKILL.md","1bec472847bdc5311dcc56f76bd24e3bb10f9889","False","new-or-modified-content"
".agents/skills/dbs-content-system/SKILL.md","5aea920347447e9eb08712a5f3dcf04f5b7acbc2","False","new-or-modified-content"
".agents/skills/dbs-content-system/docs/acceptance.md","4e68f6b3d62caabb930d27f588f6c799704376c0","False","new-or-modified-content"
".agents/skills/dbs-content-system/docs/quickstart.md","6e7d165f202266eaa6e8b1c0b7e71597c1cbcd39","False","new-or-modified-content"
".agents/skills/dbs-content-system/scaffold/root/AGENTS.md","0fa7b9c97d22666cfa2e4597762d9430bd20c679","True","exact-move-target"
".agents/skills/dbs-content-system/scaffold/root/CLAUDE.md","3188227207a3351c704ec9b236fc0993697165e5","True","exact-move-target"
".agents/skills/dbs-content-system/scaffold/root/README.md","3c17d7f094815ab7e452ac443d25e5a97de0354b","True","exact-move-target"
".agents/skills/dbs-content-system/scaffold/root/SOURCE_OF_TRUTH.md","c28b1331bb76f1db7396cd190d7df54b20831175","True","exact-move-target"
".agents/skills/dbs-content-system/scaffold/rules/内容单元关系规则.md","909f2a9da30a8a426f65eb5009956035f2a3280d","True","exact-move-target"
".agents/skills/dbs-content-system/scaffold/rules/内容单元去重与版本规则.md","d17a50a179e1a470a6d00cb81507711e6a977151","True","exact-move-target"
