"old_path","same_basename_count","candidate_new_paths","confidence"
".dbs/assembly/douyin/_gen_fix2.py","0","","none"
".dbs/assembly/douyin/_gen_full.py","0","","none"
".dbs/assembly/douyin/_gen_helper.py","0","","none"
".dbs/assembly/douyin/_gen_phase3.py","1","90-归档/历史版本/knowledge-base-audit-20260715/legacy-generators/_gen_phase3.py","medium-unique-basename"
".dbs/assembly/douyin/_t3.md","0","","none"
".dbs/assembly/douyin/_test.md","0","","none"
".dbs/assembly/douyin/_test2.md","0","","none"
".dbs/assembly/douyin/_test_utf8.txt","0","","none"
".dbs/assembly/douyin/_tmp_day15.md","0","","none"
".dbs/assembly/douyin/_tmp_day16.md","0","","none"
".dbs/assembly/douyin/_tmp_day17.md","0","","none"
".dbs/assembly/douyin/_tmp_day18.md","0","","none"
".dbs/assembly/douyin/_tmp_day19.md","0","","none"
".dbs/assembly/douyin/_tmp_day20.md","0","","none"
".dbs/assembly/douyin/_tmp_day21.md","0","","none"
".dbs/assembly/douyin/_tmp_day22.md","0","","none"
".dbs/assembly/douyin/_tmp_day23.md","0","","none"
".dbs/assembly/douyin/_tmp_day24.md","0","","none"
".dbs/assembly/douyin/_tmp_day25.md","0","","none"
".dbs/assembly/douyin/_tmp_day26.md","0","","none"
".dbs/assembly/douyin/_tmp_day27.md","0","","none"
".dbs/assembly/douyin/_tmp_day28.md","0","","none"
".dbs/assembly/douyin/_tmp_day29.md","0","","none"
".dbs/assembly/douyin/_tmp_day30.md","0","","none"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/支持定制，你想要什么样的资料告诉我，我给你完整的逐字稿/定制.txt","0","","none"
"01-内容生产/内容体系/02-内容单元库/README.md","45","00-收件箱/README.md | 01-项目/00-缓冲区/README.md | 01-项目/README.md | 01-项目/books-knowing-doing/00-缓冲区/README.md | 01-项目/books-knowing-doing/README.md | 01-项目/game-opportunity-lab/00-缓冲区/README.md | 01-项目/game-opportunity-lab/README.md | 01-项目/possibility-debt/00-缓冲区/README.md | 01-项目/possibility-debt/README.md | 01-项目/possibility-debt/SIMULATION/README.md | 01-项目/proofline/README.md | 01-项目/知行转化研究/00-缓冲区/prototype/README.md | 01-项目/知行转化研究/README.md | 01-项目/知行转化研究/diagnostic-tool/README.md | 03-资源/00-缓冲区/README.md | 03-资源/README.md | 03-资源/创作者素材/README.md | 03-资源/素材库/超级个体学习笔记/README.md | 04-知识/00-缓冲区/README.md | 04-知识/README.md | 05-内容生产/00-缓冲区/README.md | 05-内容生产/README.md | 05-内容生产/内容体系/00-缓冲区/README.md | 05-内容生产/内容体系/00-缓冲区/legacy-content-creation/README.md | 05-内容生产/内容体系/02-内容单元库/README.md | 05-内容生产/内容体系/03-处理状态/00-缓冲区/README.md | 05-内容生产/内容体系/README.md | 05-内容生产/方法论手册/00-缓冲区/README.md | 05-内容生产/方法论手册/README.md | 05-内容生产/运营与发布/README.md | 05-内容生产/运营与发布/已发布/README.md | 05-内容生产/运营与发布/数据/README.md | 05-内容生产/进行中/00-缓冲区/README.md | 05-内容生产/进行中/README.md | 08-媒体与产品/00-缓冲区/README.md | 08-媒体与产品/README.md | 08-媒体与产品/媒体/README.md | 08-媒体与产品/媒体/wechat_2026-06-07/00-缓冲区/README.md | 08-媒体与产品/媒体/创作者书稿/README.md | 90-归档/README.md | 99-系统/00-缓冲区/README.md | 99-系统/README.md | 99-系统/vendor/superpowers-zh/superpowers-zh-main/README.md | 99-系统/vendor/superpowers-zh/superpowers-zh-main/site/README.md | 99-系统/元数据/00-缓冲区/README.md","low-ambiguous-basename"
"01-内容生产/内容体系/02-内容单元库/UNIT-001_多巴胺基线崩塌与修复.md","1","05-内容生产/内容体系/02-内容单元库/UNIT-001_多巴胺基线崩塌与修复.md","medium-unique-basename"
"01-内容生产/内容体系/02-内容单元库/UNIT-002_成瘾不是意志力问题.md","1","05-内容生产/内容体系/02-内容单元库/UNIT-002_成瘾不是意志力问题.md","medium-unique-basename"
"01-内容生产/内容体系/02-内容单元库/UNIT-003_睡眠不是休息.md","1","05-内容生产/内容体系/02-内容单元库/UNIT-003_睡眠不是休息.md","medium-unique-basename"
"01-内容生产/内容体系/02-内容单元库/UNIT-004_先避毁灭再求收益.md","1","05-内容生产/内容体系/02-内容单元库/UNIT-004_先避毁灭再求收益.md","medium-unique-basename"
"01-内容生产/内容体系/02-内容单元库/UNIT-005_认知负债陷阱.md","1","05-内容生产/内容体系/02-内容单元库/UNIT-005_认知负债陷阱.md","medium-unique-basename"
"01-内容生产/内容体系/02-内容单元库/UNIT-006_六格复盘.md","1","05-内容生产/内容体系/02-内容单元库/UNIT-006_六格复盘.md","medium-unique-basename"
