"old_path","head_blob","exact_match_count","exact_new_paths","classification"
".dashboard-backup/dashboard-2026-07-04T14-29-21-689Z.md","1b162f75506dfdb398dfae115b175e508232986a","1","90-归档/仪表盘备份/dashboard-2026-07-04T14-29-21-689Z.md","exact-move"
".dbs/assembly/douyin/_gen_fix.py","91ba0d5a0d84bfb8624ec7399f44101b2d6424de","1","90-归档/历史版本/knowledge-base-audit-20260715/legacy-generators/_gen_fix.py","exact-move"
".dbs/assembly/douyin/_gen_fix2.py","ff757ca193e4b964971c48052c2558a47bbd73fd","0","","unmatched-deletion"
".dbs/assembly/douyin/_gen_fix3.py","16419180a2ce428e3b34de70b73ad59735f32eb4","1","90-归档/历史版本/knowledge-base-audit-20260715/legacy-generators/_gen_fix3.py","exact-move"
".dbs/assembly/douyin/_gen_full.py","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","0","","unmatched-deletion"
".dbs/assembly/douyin/_gen_helper.py","82c56f577452ea960a0454f13e3056cb06ae665e","0","","unmatched-deletion"
".dbs/assembly/douyin/_gen_phase3.py","263c2779e642c6e0d11509b7843039fcb2c3cd06","0","","unmatched-deletion"
".dbs/assembly/douyin/_t3.md","b27f91d6ff0e5bb9f60786b24dbb42c505b92b61","0","","unmatched-deletion"
".dbs/assembly/douyin/_test.md","a13c399ce4b2d74360408cae5d25bd28419f0dc0","0","","unmatched-deletion"
".dbs/assembly/douyin/_test2.md","318b92a61c75648404f08c0dececcee5e9fd9cb0","0","","unmatched-deletion"
".dbs/assembly/douyin/_test_utf8.txt","aa26e54fc2eecf7cc53cc9ac942357037fcd1d20","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day15.md","2b2f1c55e1d376b8c32aca9be2932974146647b4","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day16.md","79087b7d409b7943867f4bb76a3947af320c0ec4","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day17.md","1bcac2caab680d7c1d0309aac247e36de9601b06","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day18.md","02dda766405424e0410fb58162f1358c5e500a72","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day19.md","3951c3eb0e40c28473496c194d51a0179b048665","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day20.md","f0ab15c871bd9b708d07b787f4aa6262f78eb5b5","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day21.md","0bc29a60e6165f8ad7ae22dfb50b691eb0e8074e","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day22.md","89d121cc7dc23f803700081915d59ed69267fe7f","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day23.md","e476f3c5586ed3835ef16befbbff9413ab3d46d0","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day24.md","d552a11f381adc5a2e8f592c809073881251409a","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day25.md","73aa94570996e8cd7a5f60ed0ecd2b86d36e065a","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day26.md","9803d1a116ad41f22e4b9f81453d5a3f2f4bffa7","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day27.md","d23fd81ef4705d44e9de6c3a3f2b66384787bb31","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day28.md","e70c5ec131174d84495473b226f2e211ec629dcc","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day29.md","5dd85dc5cb9c02bcca203e35ddc324da2c978f7b","0","","unmatched-deletion"
".dbs/assembly/douyin/_tmp_day30.md","81adb2ce199d302ac6f1e0bb429b0d26d0040393","0","","unmatched-deletion"
"01-内容生产/KBLoop_STATE.md","535219d1b3ee0420de7a75f744d603610e4ef136","1","05-内容生产/KBLoop_STATE.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2024-12-14_自媒体的基本功是打开手机随时随地来一段 #自媒体创业 #自媒体基本功.md","4e0507264d7098a9805ea510ec9cf6a540ac5d23","1","03-资源/创作者素材/dontbesilent-聊赚钱/2024-12-14_自媒体的基本功是打开手机随时随地来一段 #自媒体创业 #自媒体基本功.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2024-12-17_如何只用一张图片，在两个小时内赚3000块钱 #赚钱思维.md","d8091226ac08db37f658abc2aa143bd6e786c85e","1","03-资源/创作者素材/dontbesilent-聊赚钱/2024-12-17_如何只用一张图片，在两个小时内赚3000块钱 #赚钱思维.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2025-01-13_千万不要先涨粉后变现，拆解流量变现的底层逻辑 #直播回放录屏 #商业咨询.md","497f02b749345da73ec6557b63f81348c535604f","1","03-资源/创作者素材/dontbesilent-聊赚钱/2025-01-13_千万不要先涨粉后变现，拆解流量变现的底层逻辑 #直播回放录屏 #商业咨询.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2025-01-13_白板聊商业：为什么你的账号光涨粉、不赚钱？ #赚钱思维 #流量变现.md","fd8872456393879d9a5e5ec9289dee0ee98d26bf","1","03-资源/创作者素材/dontbesilent-聊赚钱/2025-01-13_白板聊商业：为什么你的账号光涨粉、不赚钱？ #赚钱思维 #流量变现.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2025-01-15_小红书投流卖首饰，一年私域变现200W，案例全拆解.md","eefe4e81b19a12967639ac0e209393119f38d4eb","1","03-资源/创作者素材/dontbesilent-聊赚钱/2025-01-15_小红书投流卖首饰，一年私域变现200W，案例全拆解.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2025-01-20_赔钱是能力，赚钱是时机 #创业.md","2e0680d26f7b49e25fdff4ae1be6d4febd3ea1d1","1","03-资源/创作者素材/dontbesilent-聊赚钱/2025-01-20_赔钱是能力，赚钱是时机 #创业.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2025-01-25_误打误撞，开直播连麦，月入 20万，案例全拆解 #分享创业干货.md","27c7119386c1e2fc57005938f0f406ba69c90276","1","03-资源/创作者素材/dontbesilent-聊赚钱/2025-01-25_误打误撞，开直播连麦，月入 20万，案例全拆解 #分享创业干货.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2025-01-30_普通人想赚 100 万，别折腾产品，全靠内容 #dontbesilent #商业思维 #内容电商 #新知贺岁眼界大开 #.md","59803bf59a5c1769334c05c08ea2e3d184daf915","1","03-资源/创作者素材/dontbesilent-聊赚钱/2025-01-30_普通人想赚 100 万，别折腾产品，全靠内容 #dontbesilent #商业思维 #内容电商 #新知贺岁眼界大开 #.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2025-02-02_你的总结能力，能在毁掉你的赚钱机会 #新年拍出超好运 #新知贺岁眼界大开 #鸣潮 #分享创业干货 #商业认知.md","f73091bbc446c6ea4827fffa8cea9fb7d82cda16","1","03-资源/创作者素材/dontbesilent-聊赚钱/2025-02-02_你的总结能力，能在毁掉你的赚钱机会 #新年拍出超好运 #新知贺岁眼界大开 #鸣潮 #分享创业干货 #商业认知.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2025-02-18_一万粉丝如何月入十万：低粉高变现核心逻辑 #商业思维 #新知贺岁眼界大开 #dontbesilent #低粉高变现 #I.md","fe2dcd6edcab03036b50c577eba61bea51eee7bc","1","03-资源/创作者素材/dontbesilent-聊赚钱/2025-02-18_一万粉丝如何月入十万：低粉高变现核心逻辑 #商业思维 #新知贺岁眼界大开 #dontbesilent #低粉高变现 #I.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2025-02-20_有流量又无法变现的人，都是没搞清楚内容变现的规则是什么 #干货分享 #自媒体创业 #运营 #dontbesilent.md","2fb89b15130a74783796bbc580d3659feb1f4e78","1","03-资源/创作者素材/dontbesilent-聊赚钱/2025-02-20_有流量又无法变现的人，都是没搞清楚内容变现的规则是什么 #干货分享 #自媒体创业 #运营 #dontbesilent.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2025-02-22_99%的人不知道：项目下滑期才是最佳变现期 #dontbesilent #商业变现 #卖项目 #业务下滑.md","c65d979386eb0b62b1b98346f4d7778f603ea86f","1","03-资源/创作者素材/dontbesilent-聊赚钱/2025-02-22_99%的人不知道：项目下滑期才是最佳变现期 #dontbesilent #商业变现 #卖项目 #业务下滑.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2025-02-22_饰品创业：流量生意抄面子，品牌生意抄里子 #商业思维 #饰品创业 #商业逻辑.md","66458573fbc797b60d6fb50010923009d48cff34","1","03-资源/创作者素材/dontbesilent-聊赚钱/2025-02-22_饰品创业：流量生意抄面子，品牌生意抄里子 #商业思维 #饰品创业 #商业逻辑.md","exact-move"
"01-内容生产/dontbesilent 聊赚钱（每天更新）/2025-02-26_同样是卖虚拟资料，为什么别人能卖你 100 倍 #虚拟资料项目 #虚拟资料 #商业思维 #私域运营.md","db0f804fc38aa152664b4f0070ae5d4f5944bede","1","03-资源/创作者素材/dontbesilent-聊赚钱/2025-02-26_同样是卖虚拟资料，为什么别人能卖你 100 倍 #虚拟资料项目 #虚拟资料 #商业思维 #私域运营.md","exact-move"
