"old_path","new_path","sha256","reason","moved_at"
"99-系统/脚本/_fix_lists.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/_fix_lists.py","E0CFC40A1D5389930412264069F42BB14BC104CA66EA67064DFCF8064402DAD3","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/_scan_faith.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/_scan_faith.py","0FBA87DB4FE2C1690D611B3A4FF81F9DCD75F724F96E57D878ACB40787E6D3F9","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/analyze_vault_v2.ps1","99-系统/脚本/legacy-meta/one-off-2026-07-15/analyze_vault_v2.ps1","7AC3C1A63CD64355D962C9A427AC04F5DFBC68D8F3203E9604B64FE37E0CEC82","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/analyze_vault.ps1","99-系统/脚本/legacy-meta/one-off-2026-07-15/analyze_vault.ps1","3C2ADE3BCC9D3E67CE7D5269E323B21C72BE525341343303349856B5E250693F","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/apply_renzhijuexing_style.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/apply_renzhijuexing_style.py","DE7454329FDB6EA9946DB131753839CEFCD82D8B9A41FF642B18639AD5724F7B","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/batch_fix_g2.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/batch_fix_g2.py","232153F56C87239D25B0ABAC83837F6FD7BD9317277AD622983CD5EEDB768CD5","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/batch_fix_gates.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/batch_fix_gates.py","58607FA84ACC6BB7764242251713F77DA4934A6EBF5E02E85EC205C6DE310A7F","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/batch_fix_v2.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/batch_fix_v2.py","B3A9A615A0FFA79E138A6CE5A6D9D389C2CD21BC26B1624073F3B9727DA34A9B","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/cleanup_entropy.ps1","99-系统/脚本/legacy-meta/one-off-2026-07-15/cleanup_entropy.ps1","551A30697B6BD4F69751E4E93EE69B61E64DAD00DACF2257E4BDAE9D59B6A9AA","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/cleanup_g2.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/cleanup_g2.py","F9A7F2989466D201BBD457850C0DE3FFDAF7DD091041897F2CF7293C95D0C898","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/debug_g2.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/debug_g2.py","32340DBA4E10EDFE500BF840DC45FDA5BAA332373C64BB11D1148892DD678F60","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/enrich_batch2.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/enrich_batch2.py","199E692551306465E15D37A30F7A521A0954BC2AAC0EB68C7B5AC6E7D5317DC4","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/enrich_ch03.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/enrich_ch03.py","6951D6EA4E11E586B1E8715E78461BCE001FE218F52C8555D39D00693FF598CB","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/enrich_wechat.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/enrich_wechat.py","81AFD977E3236712C1CEFDC13F00B45062B763AF6F484D127635B2CC9DBF7A77","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/final_cleanup.ps1","99-系统/脚本/legacy-meta/one-off-2026-07-15/final_cleanup.ps1","06C5D2CED0AFB108658865BEF0F8F747F1EE67522416E32596CDD4322A451C1C","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/final_spot_check.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/final_spot_check.py","9CC776CEE51D87EB23B0BC72053CCABBA473E3D014ED4A2F816B9F96B8C69C19","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/final_summary.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/final_summary.py","AA0576F966A47ADC91DDDD934A132E3A077D6CBDA09DE72559634A00A234864F","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/find_dups.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/find_dups.py","AD22218B5AA2A9BA4BAF41D564510512AB21F9986D6D9777732600E3256C873A","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/find_last2.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/find_last2.py","994BFAD1F0F2AD2AECCBF698DC7A76969F46A09A77ACF7F47C3D77EBE8638529","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/fix_banned_cards.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/fix_banned_cards.py","C93BC93F7B4BAB48844B650CAFEE4B67398FF4C28D5D4EA39FDCAED7808FF3E1","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/fix_ch02_evidence.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/fix_ch02_evidence.py","1A021F16DD5393E1939DA9E6EA5E6B4F0126ED8016DDB1DD861DBD7D90DF2C53","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/fix_ch05_evidence.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/fix_ch05_evidence.py","0E75DDB88AB01640D99D9B587A305F57ADB20D6DBCB9ED5F86B58F922A5999F8","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/fix_g5.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/fix_g5.py","B9DF832773C3CB55D2C78EE751B85C671F1DE9CE22DC1FCA5791E4F0D51070C5","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/fix_remaining_g2.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/fix_remaining_g2.py","9670622B21C4D5F842266A806A769D830CA8523617889A371ACBE32F410DCACC","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/fix_stragglers.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/fix_stragglers.py","DB6B853F429D93781FE40E6C948A376E260850F4276CB4B97EB6B29350601243","legacy-candidate with zero external and internal references","2026-07-15"
"99-系统/脚本/fix_thin_d9.py","99-系统/脚本/legacy-meta/one-off-2026-07-15/fix_thin_d9.py","732CB54A9EEB78D4B4E749D0892075402ECDC8397C852B0357F77C2ADE09B30F","legacy-candidate with zero external and internal references","2026-07-15"
